;organista;kalikant;instrumenty
1712;60;;
1713;190;3;
1714;80;;
1715;80;3;
1716;70;;
1717;76;;
1718;20;3;
1719;90;3;
1720;52;3;
1748;105;11;
1749;104;10;
1750;104;3;
1755;109;6;
1761;81;5;
1762;104;7;133
1778;31;2;
1780;114;8;
1781;109;33;
1782;83;93;
1783;106;62;
1784;109;4;
1785;116;9;
1786;87;7;
1788;86;5;
1789;128;5;
1790;118;25;
1791;111;5;
1792;148;;
1793;148;;
1794;80;3;
1795;151;4;
1796;154;3;
1797;169;1;
1798;191;;
1799;37;7;
1800;7;1;
1801;13;1;
1802;9;1;144
1803;4;1;180
1804;4;1;
1805;4;;
